epoch,accuracy,epoch_time_sec
1,0.31139823717948717,41.456443786621094
2,0.34815705128205127,37.68402814865112
3,0.35146233974358976,25.465103149414062
4,0.36147836538461536,25.118093490600586
5,0.36698717948717946,25.397297382354736
6,0.378505608974359,25.17241334915161
7,0.38431490384615385,25.12725830078125
8,0.3853165064102564,25.243250608444214
9,0.38521634615384615,29.09496808052063
10,0.3816105769230769,25.25728988647461
11,0.3805088141025641,25.59298539161682
12,0.38822115384615385,29.79681372642517
13,0.38782051282051283,26.150357484817505
14,0.3874198717948718,25.203243255615234
15,0.3870192307692308,25.286582469940186
16,0.38671875,26.943400144577026
17,0.38661858974358976,25.16936421394348
18,0.38231169871794873,25.610646724700928
19,0.3838141025641026,29.438245058059692
20,0.38661858974358976,25.093430280685425
21,0.3812099358974359,25.187337160110474
22,0.3844150641025641,26.655203580856323
23,0.3828125,25.176730632781982
24,0.3818108974358974,29.295912504196167
25,0.38491586538461536,25.158051013946533
