epoch,accuracy,epoch_time_seconds
1,0.5912,6.35071325302124
2,0.634,2.1837751865386963
3,0.6559,2.1185202598571777
4,0.6749,2.128382921218872
5,0.6745,2.184945583343506
6,0.6734,2.338181495666504
7,0.6697,2.1028926372528076
8,0.6625,2.335517168045044
9,0.6672,2.0944278240203857
10,0.6653,2.0804977416992188
11,0.6675,2.08739972114563
12,0.6676,2.0829572677612305
13,0.6711,2.10488224029541
14,0.6553,2.10113263130188
15,0.6678,2.093463897705078
16,0.6627,2.122488498687744
17,0.6572,2.132828712463379
18,0.6622,2.1055819988250732
19,0.6563,2.1049985885620117
20,0.6597,2.112243413925171
21,0.6709,2.1131749153137207
22,0.6582,2.099039077758789
23,0.6601,2.10589599609375
24,0.6535,2.109541416168213
25,0.6584,2.1200034618377686
